altered_access_log
access_monitoring_data,,,,,,,,,,,
event_id,user_id,user_role,resource_accessed,resource_sensitivity,access_timestamp,location,device_type,access_type,records_viewed,is_authorized,is_privacy_violation
1,1081,HR,customer_table,TRUE,2025-01-13 12:24:00,CA,web_portal,write,64,FALSE,TRUE
2,1094,HR,hr_files,TRUE,2025-01-04 22:57:00,IL,remote_server,read,45,TRUE,FALSE
3,1003,HR,payroll_records,TRUE,2025-01-11 14:07:00,IL,laptop,write,69,TRUE,FALSE
4,1091,Finance,maintenance_logs,FALSE,2025-01-11 00:46:00,FL,mobile,read,95,FALSE,FALSE
5,1097,IT,maintenance_logs,FALSE,2025-01-16 11:38:00,NY,web_portal,write,42,TRUE,FALSE
6,1097,Customer Service,customer_table,TRUE,2025-01-05 05:18:00,FL,laptop,export,42,TRUE,FALSE
7,1044,Finance,flight_logs,FALSE,2025-01-02 23:27:00,FL,laptop,delete,97,FALSE,FALSE
8,1010,Finance,flight_logs,FALSE,2025-01-29 14:38:00,IL,mobile,write,73,FALSE,FALSE
9,1090,HR,customer_table,TRUE,2025-01-11 08:55:00,NY,laptop,write,35,FALSE,TRUE
10,1012,Pilot,flight_logs,FALSE,2025-01-21 15:14:00,NY,web_portal,export,66,TRUE,FALSE
11,1045,IT,flight_logs,FALSE,2025-01-30 11:49:00,TX,web_portal,write,36,TRUE,FALSE
12,1020,Pilot,maintenance_logs,FALSE,2025-01-13 06:51:00,IL,web_portal,export,36,TRUE,FALSE
13,1098,HR,payroll_records,TRUE,2025-01-02 11:03:00,NY,remote_server,export,57,TRUE,FALSE
14,1008,IT,hr_files,TRUE,2025-01-15 07:42:00,CA,remote_server,delete,7,TRUE,FALSE
15,1082,Pilot,payroll_records,TRUE,2025-01-13 01:19:00,CA,web_portal,export,1,FALSE,TRUE
16,1095,Finance,maintenance_logs,FALSE,2025-01-27 13:22:00,FL,mobile,write,33,FALSE,FALSE
17,1017,Finance,maintenance_logs,FALSE,2025-01-05 03:17:00,TX,laptop,write,19,FALSE,FALSE
18,1080,IT,maintenance_logs,FALSE,2025-01-28 03:26:00,TX,remote_server,delete,59,TRUE,FALSE
19,1076,Pilot,hr_files,TRUE,2025-01-12 10:36:00,IL,laptop,read,22,FALSE,TRUE
20,1087,Finance,flight_logs,FALSE,2025-01-30 04:06:00,NY,laptop,export,7,FALSE,FALSE
21,1055,IT,maintenance_logs,FALSE,2025-01-01 03:32:00,NY,web_portal,read,93,TRUE,FALSE
22,1080,Customer Service,hr_files,TRUE,2025-01-28 17:09:00,CA,web_portal,export,43,FALSE,TRUE
23,1097,IT,hr_files,TRUE,2025-01-25 03:17:00,TX,mobile,delete,52,TRUE,FALSE
24,1002,HR,flight_logs,FALSE,2025-01-14 23:53:00,CA,laptop,write,7,FALSE,FALSE
25,1072,HR,customer_table,TRUE,2025-01-23 02:49:00,TX,web_portal,write,33,FALSE,TRUE
26,1084,Pilot,hr_files,TRUE,2025-01-08 12:21:00,NY,remote_server,write,53,FALSE,TRUE
27,1069,IT,flight_logs,FALSE,2025-01-19 03:48:00,NY,remote_server,delete,15,TRUE,FALSE
28,1015,IT,payroll_records,TRUE,2025-01-03 21:56:00,NY,laptop,write,61,FALSE,TRUE
