access_monitoring_data
event_id,user_id,user_role,resource_accessed,resource_sensitivity,timestamp,location,device_type,access_type,records_viewed,is_authorized,is_privacy_violation
1,1081,HR,customer_table,1,2025-01-13 12:24:00,CA,web_portal,write,64,0,1
2,1094,HR,hr_files,1,2025-01-04 22:57:00,IL,remote_server,read,45,1,0
3,1003,HR,payroll_records,1,2025-01-11 14:07:00,IL,laptop,write,69,1,0
4,1091,Finance,maintenance_logs,0,2025-01-11 00:46:00,FL,mobile,read,95,0,0
5,1097,IT,maintenance_logs,0,2025-01-16 11:38:00,NY,web_portal,write,42,1,0
6,1097,Customer Service,customer_table,1,2025-01-05 05:18:00,FL,laptop,export,42,1,0
7,1044,Finance,flight_logs,0,2025-01-02 23:27:00,FL,laptop,delete,97,0,0
8,1010,Finance,flight_logs,0,2025-01-29 14:38:00,IL,mobile,write,73,0,0
9,1090,HR,customer_table,1,2025-01-11 08:55:00,NY,laptop,write,35,0,1
10,1012,Pilot,flight_logs,0,2025-01-21 15:14:00,NY,web_portal,export,66,1,0
11,1045,IT,flight_logs,0,2025-01-30 11:49:00,TX,web_portal,write,36,1,0
12,1020,Pilot,maintenance_logs,0,2025-01-13 06:51:00,IL,web_portal,export,36,1,0
13,1098,HR,payroll_records,1,2025-01-02 11:03:00,NY,remote_server,export,57,1,0
14,1008,IT,hr_files,1,2025-01-15 07:42:00,CA,remote_server,delete,7,1,0
15,1082,Pilot,payroll_records,1,2025-01-13 01:19:00,CA,web_portal,export,1,0,1
16,1095,Finance,maintenance_logs,0,2025-01-27 13:22:00,FL,mobile,write,33,0,0
17,1017,Finance,maintenance_logs,0,2025-01-05 03:17:00,TX,laptop,write,19,0,0
18,1080,IT,maintenance_logs,0,2025-01-28 03:26:00,TX,remote_server,delete,59,1,0
19,1076,Pilot,hr_files,1,2025-01-12 10:36:00,IL,laptop,read,22,0,1
20,1087,Finance,flight_logs,0,2025-01-30 04:06:00,NY,laptop,export,7,0,0
21,1055,IT,maintenance_logs,0,2025-01-01 03:32:00,NY,web_portal,read,93,1,0
22,1080,Customer Service,hr_files,1,2025-01-28 17:09:00,CA,web_portal,export,43,0,1
23,1097,IT,hr_files,1,2025-01-25 03:17:00,TX,mobile,delete,52,1,0
24,1002,HR,flight_logs,0,2025-01-14 23:53:00,CA,laptop,write,7,0,0
25,1072,HR,customer_table,1,2025-01-23 02:49:00,TX,web_portal,write,33,0,1
26,1084,Pilot,hr_files,1,2025-01-08 12:21:00,NY,remote_server,write,53,0,1
27,1069,IT,flight_logs,0,2025-01-19 03:48:00,NY,remote_server,delete,15,1,0
28,1015,IT,payroll_records,1,2025-01-03 21:56:00,NY,laptop,write,61,0,1
29,1075,IT,customer_table,1,2025-01-04 05:32:00,TX,web_portal,read,31,1,0
30,1004,Customer Service,customer_table,1,2025-01-24 09:35:00,CA,mobile,delete,41,1,0
31,1027,Finance,payroll_records,1,2025-01-26 23:43:00,IL,remote_server,write,31,1,0
32,1100,Pilot,maintenance_logs,0,2025-01-09 15:58:00,TX,laptop,delete,105,1,0
33,1045,Pilot,maintenance_logs,0,2025-01-22 06:06:00,TX,laptop,read,49,1,0
34,1051,Customer Service,customer_table,1,2025-01-12 07:35:00,CA,web_portal,delete,18,1,0
35,1017,Pilot,payroll_records,1,2025-01-13 16:14:00,FL,web_portal,read,74,0,1
36,1056,Finance,customer_table,1,2025-01-03 07:15:00,IL,laptop,read,13,1,0
37,1096,IT,payroll_records,1,2025-01-19 11:54:00,FL,remote_server,write,56,0,1
38,1051,HR,payroll_records,1,2025-01-18 05:56:00,TX,remote_server,export,8,1,0
39,1100,Pilot,flight_logs,0,2025-01-20 06:02:00,IL,remote_server,write,10,1,0
40,1024,Customer Service,payroll_records,1,2025-01-03 15:52:00,IL,laptop,export,55,0,1
41,1007,HR,hr_files,1,2025-01-22 16:46:00,IL,web_portal,read,72,1,0
42,1065,HR,payroll_records,1,2025-01-04 02:50:00,IL,laptop,write,55,1,0
43,1051,HR,hr_files,1,2025-01-12 04:55:00,IL,laptop,read,46,1,0
44,1053,Finance,hr_files,1,2025-01-24 19:01:00,NY,mobile,write,40,0,1
45,1085,Customer Service,payroll_records,1,2025-01-13 02:07:00,FL,web_portal,export,5,0,1
46,1058,Customer Service,customer_table,1,2025-01-01 10:10:00,FL,laptop,read,28,1,0
47,1068,IT,hr_files,1,2025-01-13 01:40:00,CA,mobile,read,36,1,0
48,1031,Customer Service,flight_logs,0,2025-01-08 04:18:00,FL,mobile,read,81,1,0
49,1085,Finance,flight_logs,0,2025-01-05 17:08:00,CA,mobile,read,60,0,0
50,1013,Finance,payroll_records,1,2025-01-13 09:28:00,NY,web_portal,export,2,1,0
51,1026,Customer Service,hr_files,1,2025-01-23 05:36:00,NY,laptop,read,59,0,1
52,1081,Pilot,flight_logs,0,2025-01-03 00:09:00,TX,mobile,write,38,1,0
53,1081,Customer Service,payroll_records,1,2025-01-21 02:36:00,IL,remote_server,read,29,0,1
54,1014,HR,payroll_records,1,2025-01-25 19:55:00,TX,mobile,write,68,1,0
55,1055,IT,customer_table,1,2025-01-15 00:42:00,NY,laptop,export,80,1,0
56,1026,IT,customer_table,1,2025-01-17 02:18:00,IL,remote_server,write,77,1,0
57,1030,IT,payroll_records,1,2025-01-19 18:20:00,TX,web_portal,export,24,0,1
58,1100,Pilot,payroll_records,1,2025-01-13 03:25:00,CA,laptop,delete,40,0,1
59,1004,Pilot,payroll_records,1,2025-01-10 01:59:00,FL,mobile,export,59,0,1
60,1029,IT,customer_table,1,2025-01-09 18:56:00,FL,mobile,export,79,1,0
